id,lot,mass_g,photo1,photo2,guess
A-01,A,,A-01_pass1.jpg,A-01_pass2.jpg,
A-02,A,,A-02_pass1.jpg,A-02_pass2.jpg,
A-03,A,,A-03_pass1.jpg,A-03_pass2.jpg,
A-04,A,,A-04_pass1.jpg,A-04_pass2.jpg,
A-05,A,,A-05_pass1.jpg,A-05_pass2.jpg,
A-06,A,,A-06_pass1.jpg,A-06_pass2.jpg,
A-07,A,,A-07_pass1.jpg,A-07_pass2.jpg,
A-08,A,,A-08_pass1.jpg,A-08_pass2.jpg,
A-09,A,,A-09_pass1.jpg,A-09_pass2.jpg,
A-10,A,,A-10_pass1.jpg,A-10_pass2.jpg,
B-01,B,,B-01_pass1.jpg,B-01_pass2.jpg,
B-02,B,,B-02_pass1.jpg,B-02_pass2.jpg,
B-03,B,,B-03_pass1.jpg,B-03_pass2.jpg,
B-04,B,,B-04_pass1.jpg,B-04_pass2.jpg,
B-05,B,,B-05_pass1.jpg,B-05_pass2.jpg,
B-06,B,,B-06_pass1.jpg,B-06_pass2.jpg,
B-07,B,,B-07_pass1.jpg,B-07_pass2.jpg,
B-08,B,,B-08_pass1.jpg,B-08_pass2.jpg,
B-09,B,,B-09_pass1.jpg,B-09_pass2.jpg,
B-10,B,,B-10_pass1.jpg,B-10_pass2.jpg,
